year,prtp,scc
2039,0.025,14.216210346346738
2040,0.025,14.396065464233644
2041,0.025,14.575417931606118
2042,0.025,14.754183917199311
2043,0.025,14.932280482288075
2044,0.025,15.109624884605967
2045,0.025,15.286135624420464
2046,0.025,15.461732770066709
2047,0.025,15.636338710500532
2048,0.025,15.809878285435175
2049,0.025,15.982279831534273
2050,0.025,16.153475834699734
2051,0.025,16.323404083722416
2052,0.025,16.492011100767776
2053,0.025,16.659247093974507
2054,0.025,16.825065947869923
2055,0.025,16.989423869791636
2056,0.025,17.152279573862643
2057,0.025,17.313594585879635
2058,0.025,17.473334486787607
2059,0.025,17.631469487812225
2060,0.025,17.787975215075193
2023,0.03,6.942836730447193
2024,0.03,7.084065651255901
2025,0.03,7.225909426867558
2026,0.03,7.368318489248178
2027,0.03,7.511244629771402
2028,0.03,7.654642835162324
2029,0.03,7.7984722386067835
2030,0.03,7.9426969118593345
2031,0.03,8.087286925109751
2032,0.03,8.23221377863344
2033,0.03,8.37743639015401
2034,0.03,8.522907305753467
2035,0.03,8.668577668273207
2036,0.03,8.814397553681282
2037,0.03,8.960315225856656
2038,0.03,9.106275793259002
2039,0.03,9.25222000877913
2040,0.03,9.398083981185085
2041,0.03,9.543798316717961
2042,0.03,9.689286141434906
2043,0.03,9.834471120365865
2044,0.03,9.9792767438679
2045,0.03,10.123627287525053
2046,0.03,10.267448105548013
2047,0.03,10.410666325023417
2048,0.03,10.55321092633831
2049,0.03,10.69501379807806
2050,0.03,10.836010330289842
2051,0.03,10.976140506999513
2052,0.03,11.11535248738514
2053,0.03,11.25359753341635
2054,0.03,11.3908299263092
2055,0.03,11.527005485938844
2056,0.03,11.662081755237306
2057,0.03,11.796018245655626
2058,0.03,11.92877763537788
2059,0.03,12.06032640825632
2060,0.03,12.190635530782568
2023,0.035,4.312485414065394
2024,0.035,4.4236848474273085
2025,0.035,4.535626119945006
2026,0.035,4.648268295938127
2027,0.035,4.7615717073102335
2028,0.035,4.875499746766557
2029,0.035,4.9900198488329055
2030,0.035,5.105104328865825
2031,0.035,5.220731492026379
2032,0.035,5.336881036012305
2033,0.035,5.453519996805689
2034,0.035,5.570608938440984
2035,0.035,5.688106980464418
2036,0.035,5.805972132532032
2037,0.035,5.924160592616598
2038,0.035,6.042625350853024
2039,0.035,6.161315020190439
2040,0.035,6.280173524749371
2041,0.035,6.399139205072602
2042,0.035,6.518142927786414
2043,0.035,6.6371158540809425
2044,0.035,6.755988698400268
2045,0.035,6.874692605595997
2046,0.035,6.99315940954705
2047,0.035,7.111322289201784
2048,0.035,7.229115810769493
2049,0.035,7.346476982255567
2050,0.035,7.463345810172516
2051,0.035,7.579666341610034
2052,0.035,7.69539037274755
2053,0.035,7.810472368597094
2054,0.035,7.924869315354407
2055,0.035,8.038539132778013
2056,0.035,8.151440843385387
2057,0.035,8.26353476892645
2058,0.035,8.374783688258463
2059,0.035,8.485153500045207
2060,0.035,8.594613832441464
