year,prtp,scc
2041,0.025,101.38689
2042,0.025,102.85014
2043,0.025,104.26585
2044,0.025,105.66434
2045,0.025,107.02956
2046,0.025,108.36035
2047,0.025,109.6626
2048,0.025,110.944305
2049,0.025,112.22177
2050,0.025,113.51428
2023,0.0275,59.664703
2024,0.0275,61.03395
2025,0.0275,62.430813
2026,0.0275,63.859215
2027,0.0275,65.3205
2028,0.0275,66.81296
2029,0.0275,68.33254
2030,0.0275,69.87358
2031,0.0275,71.435715
2032,0.0275,73.02514
2033,0.0275,74.638954
2034,0.0275,76.272484
2035,0.0275,77.92208
2036,0.0275,79.58515
2037,0.0275,81.25395
2038,0.0275,82.91348
2039,0.0275,84.54175
2040,0.0275,86.10752
2041,0.0275,87.56211
2042,0.0275,88.90609
2043,0.0275,90.20331
2044,0.0275,91.4841
2045,0.0275,92.73243
2046,0.0275,93.94714
2047,0.0275,95.134026
2048,0.0275,96.30102
2049,0.0275,97.46425
2050,0.0275,98.6429
2023,0.03,50.765656
2024,0.03,52.016308
2025,0.03,53.294632
2026,0.03,54.604565
2027,0.03,55.947495
2028,0.03,57.32176
2029,0.03,58.723415
2030,0.03,60.14361
2031,0.03,61.588413
2032,0.03,63.06101
2033,0.03,64.55867
2034,0.03,66.07695
2035,0.03,67.6124
2036,0.03,69.1626
2037,0.03,70.72002
2038,0.03,72.269806
2039,0.03,73.790115
2040,0.03,75.24978
2041,0.03,76.59985
2042,0.03,77.840454
2043,0.03,79.034935
2044,0.03,80.21363
2045,0.03,81.360535
2046,0.03,82.474434
2047,0.03,83.56106
2048,0.03,84.628235
2049,0.03,85.69196
2050,0.03,86.77129
2023,0.0325,43.719006
2024,0.0325,44.86664
2025,0.0325,46.041874
2026,0.0325,47.248676
2027,0.0325,48.48847
2028,0.0325,49.75967
2029,0.0325,51.05841
2030,0.0325,52.37456
2031,0.0325,53.716896
2032,0.0325,55.087418
2033,0.0325,56.48356
2034,0.0325,57.901085
2035,0.0325,59.336727
2036,0.0325,60.78827
2037,0.0325,62.248352
2038,0.0325,63.702312
2039,0.0325,65.12843
2040,0.0325,66.49562
2041,0.0325,67.75472
2042,0.0325,68.90538
2043,0.0325,70.010475
2044,0.0325,71.10032
2045,0.0325,72.15892
2046,0.0325,73.18502
2047,0.0325,74.184265
2048,0.0325,75.16438
2049,0.0325,76.14122
2050,0.0325,77.13374
2023,0.035,38.048443
2024,0.035,39.105965
2025,0.035,40.190937
2026,0.035,41.307346
2027,0.035,42.456665
2028,0.035,43.63738
2029,0.035,44.84571
2030,0.035,46.07136
2031,0.035,47.32361
2032,0.035,48.604347
2033,0.035,49.91117
2034,0.035,51.24004
2035,0.035,52.587868
2036,0.035,53.95262
2037,0.035,55.32713
2038,0.035,56.696903
2039,0.035,58.040375
2040,0.035,59.326523
2041,0.035,60.506012
2042,0.035,61.578014
2043,0.035,62.60495
2044,0.035,63.617092
2045,0.035,64.59847
2046,0.035,65.54776
2047,0.035,66.47052
2048,0.035,67.374374
2049,0.035,68.27504
2050,0.035,69.19137
2023,0.0375,33.419384
2024,0.0375,34.397556
2025,0.0375,35.402958
2026,0.0375,36.439598
2027,0.0375,37.509007
2028,0.0375,38.609737
2029,0.0375,39.738102
2030,0.0375,40.88429
2031,0.0375,42.05679
2032,0.0375,43.258026
2033,0.0375,44.485737
2034,0.0375,45.736076
2035,0.0375,47.006123
2036,0.0375,48.294025
2037,0.0375,49.592804
2038,0.0375,50.888153
2039,0.0375,52.15865
2040,0.0375,53.373344
2041,0.0375,54.48276
2042,0.0375,55.485603
2043,0.0375,56.44381
2044,0.0375,57.38764
2045,0.0375,58.301132
2046,0.0375,59.18287
2047,0.0375,60.03835
2048,0.0375,60.875076
2049,0.0375,61.708622
2050,0.0375,62.55777
2023,0.04,29.592094
2024,0.04,30.499939
2025,0.04,31.434736
2026,0.04,32.400528
2027,0.04,33.3989
2028,0.04,34.42847
2029,0.04,35.48565
2030,0.04,36.561447
2031,0.04,37.6629
2032,0.04,38.79327
2033,0.04,39.950447
2034,0.04,41.130768
2035,0.04,42.33147
2036,0.04,43.550884
2037,0.04,44.782215
2038,0.04,46.01135
2039,0.04,47.217014
2040,0.04,48.368336
2041,0.04,49.41571
2042,0.04,50.357384
2043,0.04,51.25483
2044,0.04,52.138268
2045,0.04,52.991745
2046,0.04,53.813774
2047,0.04,54.60976
2048,0.04,55.387093
2049,0.04,56.161213
2050,0.04,56.950817
2023,0.0425,26.391586
2024,0.0425,27.236723
2025,0.0425,28.108498
2026,0.0425,29.010983
2027,0.0425,29.945816
2028,0.0425,30.911695
2029,0.0425,31.905107
2030,0.0425,32.918068
2031,0.0425,33.955826
2032,0.0425,35.02264
2033,0.0425,36.116547
2034,0.0425,37.234043
2035,0.0425,38.372543
2036,0.0425,39.530537
2037,0.0425,40.701435
2038,0.0425,41.8713
2039,0.0425,43.019024
2040,0.0425,44.1138
2041,0.0425,45.10594
2042,0.0425,45.993217
2043,0.0425,46.83664
2044,0.0425,47.6664
2045,0.0425,48.466557
2046,0.0425,49.23553
2047,0.0425,49.978634
2048,0.0425,50.70315
2049,0.0425,51.42439
2050,0.0425,52.16096
2023,0.045,23.687922
2024,0.045,24.476833
2025,0.045,25.29204
2026,0.045,26.137638
2027,0.045,27.015326
2028,0.045,27.92387
2029,0.045,28.859846
2030,0.045,29.81632
2031,0.045,30.796642
2032,0.045,31.806128
2033,0.045,32.84294
2034,0.045,33.90375
2035,0.045,34.986126
2036,0.045,36.088726
2037,0.045,37.20515
2038,0.045,38.321663
2039,0.045,39.417305
2040,0.045,40.46136
2041,0.045,41.404053
2042,0.045,42.2427
2043,0.045,43.03784
2044,0.045,43.819656
2045,0.045,44.57219
2046,0.045,45.293785
2047,0.045,45.98966
2048,0.045,46.66698
2049,0.045,47.340935
2050,0.045,48.030045
2023,0.0475,21.38309
2024,0.0475,22.121336
2025,0.0475,22.885504
2026,0.0475,23.679726
2027,0.0475,24.505747
2028,0.0475,25.362413
2029,0.0475,26.24638
2030,0.0475,27.151756
2031,0.0475,28.080017
2032,0.0475,29.03751
